Size,Entropy,Rank
Qwen2.5-7B,164.02997,0.9585543
Qwen2.5-7B,185.82652,0.6898785
Qwen2.5-7B,165.34782,0.7308114
Qwen2.5-7B,163.53394,0.8396198
Qwen2.5-7B,175.37025,0.958775
Qwen2.5-7B,194.01183,0.7838903
Qwen2.5-7B,166.6875,0.77694124
Qwen2.5-7B,160.82065,1.0694706
Qwen2.5-7B,164.79184,1.0811641
Qwen2.5-7B,173.63985,0.71689063
Qwen2.5-7B,162.45766,0.8024205
Qwen2.5-7B,170.68785,0.8876568
Qwen2.5-7B,170.53445,0.90420663
Qwen2.5-7B,176.72781,0.777809
Qwen2.5-7B,169.95786,0.7376589
Qwen2.5-7B,163.64076,1.0791535
Qwen2.5-7B,165.8441,0.8131453
Qwen2.5-7B,175.816,0.8838247
Qwen2.5-7B,168.91089,0.7640607
Qwen2.5-7B,158.4807,1.1720138
Qwen2.5-7B,171.9478,0.77106684
Qwen2.5-7B,182.51355,0.8567495
Qwen2.5-7B,167.65262,0.73841715
Qwen2.5-7B,160.98837,1.3359591
Qwen2.5-7B,168.21698,0.6894554
Qwen2.5-7B,188.54915,0.9256386
Qwen2.5-7B,167.95169,0.7181813
Qwen2.5-7B,160.54828,1.4497299
Qwen2.5-7B,159.30261,0.6451824
Qwen2.5-7B,179.22444,0.97030026
Qwen2.5-7B,164.01613,0.64192086
Qwen2.5-7B,160.97946,1.6963425
Qwen2.5-7B,164.46223,0.6603048
Qwen2.5-7B,176.93321,0.86837816
Qwen2.5-7B,167.31912,0.6939755
Qwen2.5-7B,168.90071,1.4933445
Qwen2.5-7B,158.74812,1.5146458
Qwen2.5-7B,177.60414,0.6049219
Qwen2.5-7B,171.79782,0.805981
Qwen2.5-7B,168.26198,0.5307869
Qwen2.5-7B,146.10577,1.0180329
Qwen2.5-7B,177.56015,0.66453993
Qwen2.5-7B,146.184,0.5449501
Qwen2.5-7B,167.81969,0.78046584
Qwen2.5-7B,159.48553,1.2791905
Qwen2.5-7B,204.21765,0.6661949
Qwen2.5-7B,159.00029,0.8082519
Qwen2.5-7B,175.03868,0.63118386
Qwen2.5-7B,158.3761,1.2988588
Qwen2.5-7B,196.70174,0.7075706
Qwen2.5-7B,164.09492,0.848362
Qwen2.5-7B,152.64766,0.7424403
Qwen2.5-7B,161.02771,1.1468318
Qwen2.5-7B,169.43422,0.70069927
Qwen2.5-7B,164.614,0.8031251
Qwen2.5-7B,166.3411,0.88235
Qwen2.5-7B,166.27391,1.076843
Qwen2.5-7B,181.36081,0.68608624
Qwen2.5-7B,168.12183,0.80052835
Qwen2.5-7B,171.98645,0.84140587
Qwen2.5-7B,173.43968,1.1388769
Qwen2.5-7B,169.50412,0.7101403
Qwen2.5-7B,166.60167,0.8201636
